traceId,traceTime,startTime,endTime,parentId,childId,childOperation,parentOperation,childMS,childPod,parentMS,parentPod,parentDuration,childDuration
0002884278a55884,1750237394811918,1750237394802712,1750237394802793,122869266da7a3d7,29105b791d367303,/recommendation.Recommendation/GetRecommendations,/recommendation.Recommendation/GetRecommendations,recommendation,recommendation-6f7c4d958c-t7rft,frontend,frontend-6777cd69cf-rms2b,199331,81
0002884278a55884,1750237394811918,1750237395002464,1750237395003685,457cc5e4ea24a405,18f9c4513c504f4b,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,2200,1221
0002884278a55884,1750237394811918,1750237394811999,1750237395011330,0002884278a55884,122869266da7a3d7,/recommendation.Recommendation/GetRecommendations,HTTP GET /recommendations,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,201629,199331
0002884278a55884,1750237394811918,1750237395011334,1750237395013534,0002884278a55884,457cc5e4ea24a405,/profile.Profile/GetProfiles,HTTP GET /recommendations,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,201629,2200
000d3cac761c57bc,1750237372796597,1750237372786103,1750237372786146,3fd295fd3f8768c9,01e28dbc7cc255ce,/recommendation.Recommendation/GetRecommendations,/recommendation.Recommendation/GetRecommendations,recommendation,recommendation-6f7c4d958c-t7rft,frontend,frontend-6777cd69cf-rms2b,662,43
000d3cac761c57bc,1750237372796597,1750237372786838,1750237372787003,42a3dd087abcbae5,7fc122b5fb9c0ee4,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,703,165
000d3cac761c57bc,1750237372796597,1750237372796667,1750237372797329,000d3cac761c57bc,3fd295fd3f8768c9,/recommendation.Recommendation/GetRecommendations,HTTP GET /recommendations,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,1583,662
000d3cac761c57bc,1750237372796597,1750237372797361,1750237372798064,000d3cac761c57bc,42a3dd087abcbae5,/profile.Profile/GetProfiles,HTTP GET /recommendations,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,1583,703
0014c1c6fea1a3f2,1750237368483000,1750237368472123,1750237368472234,46880d59914c6e1f,1548b4662ccd0756,/recommendation.Recommendation/GetRecommendations,/recommendation.Recommendation/GetRecommendations,recommendation,recommendation-6f7c4d958c-t7rft,frontend,frontend-6777cd69cf-rms2b,460,111
0014c1c6fea1a3f2,1750237368483000,1750237368472553,1750237368573403,4cd4d4f3baff96c6,0e73064b016ad88a,/profile.Profile/GetProfiles,/profile.Profile/GetProfiles,profile,profile-78bcb7bd79-jg6tz,frontend,frontend-6777cd69cf-rms2b,112500,100850
0014c1c6fea1a3f2,1750237368483000,1750237368483007,1750237368483467,0014c1c6fea1a3f2,46880d59914c6e1f,/recommendation.Recommendation/GetRecommendations,HTTP GET /recommendations,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,113070,460
0014c1c6fea1a3f2,1750237368483000,1750237368483485,1750237368595985,0014c1c6fea1a3f2,4cd4d4f3baff96c6,/profile.Profile/GetProfiles,HTTP GET /recommendations,frontend,frontend-6777cd69cf-rms2b,frontend,frontend-6777cd69cf-rms2b,113070,112500
